"","BC11","BC120","BC121","BC122","BC123","BC124","BC125","BC126","BC12","BC130","BC136","BC138","BC13","BC143","BC144","BC149","BC14","BC164","BC165","BC166","BC174","BC175","BC176","BC179","BC17","BC18","BC19","BC1","BC20","BC21","BC22","BC23","BC24","BC25","BC28","BC2","BC31","BC33","BC34","BC35","BC36","BC37","BC38","BC3","BC49","BC4","BC50","BC52","BC53","BC55","BC58","BC59","BC61","BC62","BC63","BC67","BC68","BC69","BC6","BC72","BC74","BC76","BC79","BC8","BC92","BC95","BC96","BC97","BC98","BC99","BC9","BC101","BC104","BC112","BC117","BC154","BC15","BC161","BC163","BC167","BC16","BC177","BC39","BC54","BC5","BC64","BC71","BC73","BC75","BC80","M537","M538","M541","M542","M572","M573","M593","M601","M602","M640","M855","M856","M862","M897","X236","X237","X238","X244","X246","X255","X256","X257","X259","X261","X281","X282","X399","X401","X402","X411","X413","X415","X416","X423","X424","X425","X435","X436","X478","X479","X480","X548","M523","M589","M590","M662","M663","M664","M754","M877","M878","M894","M895","M898","X483","M607","M608","M555","X485","M651","M652","M660","M661","M745","M746","M747","M886","reBC44_1","reBC44_3","X280","X439","X440","X441","M521","M522","X495","X496","X497","X419","X420","X284","X285","X286","X289","X290","X430","X291","X293","X294","X295","X296","X297","X298","X322","X323","X324","X431","X326","X345","X346","X347","X349","X350","X353","X355","X354","M621","M622","M561","M562","M563","M547","M548","X504","M549","BC51","BC56","BC60","BC150","BC152","BC153","X505","X506","X388","X389","X390"
"ASV_1",0.000410054537253455,0.93481186114266,0.977395792918473,0.79386201634066,0.954882467713463,0.90854698384253,0.119492531716768,0.282517558664997,0.00150676711780785,0.0571141164636191,0.0170442735398046,0.0415800415800416,0.000416023472482237,0.000881639850121226,0.0125215889464594,0.0864686468646865,0.00125109470786939,0,0,0,0,0,0,0,0.000882390016387243,0.000448293793820718,0.00294307659177374,0.867902965288148,7.85360873321291e-05,0.000186905906226637,0,0.000704473406128919,0.00200005734931468,0.00362217887991084,0.00213485144991994,0.813862132589999,0.936672843739512,0.990130849412287,0.936,0.992722205017033,0.00389997705895848,0,0,0.547339378489141,5.63443768311922e-05,0.525760691873649,0,0,0.000202880908906472,0.00197065907597986,0,0.00147574248293673,0,0.000445997175351223,0.000627746390458255,0,0,0.000244977951984321,0.00420516634722659,0.000877963125548727,0,0.932172504555578,0.799652393743087,0.00626404303125213,0,0,7.68391449339952e-05,0.00122264335493337,0.000206228088265622,0.000385282219225583,0.00385578478516188,0.0285132382892057,0.0160996780064399,0.000306983883346124,0.00602371034924704,0.0520543175487465,0,0,0,0,0.000822803408756979,0,0,0.000131966744380416,0.588625920563983,0.00219214639725505,0,0,0.864049921402372,0.0280939694841366,0.0126312801589554,0.00790215275558525,0.00744558991981672,0.00426861009890682,0.000195771339075959,0,0.00975779752570134,0.00347412689705613,0.00307710171853228,0.000600720865038046,0.00166927490871153,0.00181932944714662,0.00172537742631201,0.00327071452532707,0.00114737378888322,0.000737377265494625,0.00244749132139557,0.000249829283323063,0.000424953255141934,0.00387596899224806,0.000314103235263323,0.00110957004160888,0.00261145308711061,0.000662189007662473,0.000387296669248644,0.000423897204927805,0.00260939381774388,0.00388580063683955,0.0011536982438149,0.000338596977252439,0.000780477652323222,0.000657591898467811,0.00124223602484472,0.00386504549480635,0.00188146754468485,0.00230642504118616,0.000874444363477374,0.0014760147601476,0.00209135017567341,0.00190344350233604,0.00154172287531316,0.0141102691403188,0.00418822370041882,0,0,0,0,0,0.00256967780193714,0,0,0.000460900291903518,0.00245031309556221,0,0,0,0,0.000958160332162248,0.00521818911634841,0,0.000608699723743972,0.000139198218262806,0,0,0.000282392808396479,0.00338149400553335,0,0.91971287012835,0.951407479516509,0,0.00166991372112441,0.0138856530450585,0.00115351340959339,0.00556258645554346,0.00835337626399772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152292627812824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48906911670083e-05,0.122537454882746,0.00664769493454752,0.0568214658871129,0,0,0,0,0
"ASV_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017631501616221,0,0,0,0,0,0,0,0,0,0.907252341754187,0.963975480084832,0.919243986254295,0.958459135866736,0,0.000635021431973329,0.00679560899111343,0.979886633753886,0.985775661867162,0.992490989187024,0.993218570683359,0.991274644488174,0.978289000718907,0.00134183160013418,0.00299592044875064,0.002173322466721,0.00379610898828701,0.000932695991072767,0.00131735509094,0.00340061430451953,0.00167521725473772,0.00166435506241331,0.00335758254057079,0.00595970106896226,0,0,0.978121236451224,0.965999244427654,0.99400717856685,0.000307815433865854,0.000208127373952859,0.746103768001578,0.695378881987578,0.98566712295676,0.975352775164628,0.985831960461285,0.00830722145303505,0.00493299669838804,0.025096202108081,0.00311472573109535,0.00192715359414145,0.931539064541416,0,1.36878173862656e-05,0,0,5.6028058851873e-05,0.000281183218985491,0.00197667523225934,0,0,0,0,0,0.001595914458985,0,0,0,0.0156545673490452,0,0,0,0,0.00037914691943128,0,0,0,0,0,0.00121029558107636,0.0117357825401243,0.0127673454172685,0.00173027011439008,0.00391441269093799,0.0305428401479298,0.0121503837647977,0.000413683373110581,0.00710339384372534,0,0.0151318798597347,0.878381039328357,0.996279809904737,0.997683624102038,0.998563343491511,0.988527162188664,0.000758610226065847,0.999040396947994,0.0546980061977431,0.3725847132361,0.200931812515582,0.121710300674517,0.103940040597512,0.103333806213647,0.0407043879907621,0.0197555429221148,0,0,0.0100037661237172,0,0.0495952774920621,0.056925591642385,0.000431897601005143,0.00023421032086814,0.0396880140075344,0,0.0601956679625753,0,0.00018308311973636,5.37858516317283e-05,0.000150455126758444,0.000347242317263731,0.000246702411104898,0.000368120743603902,0.0668157193223837,0,0.000268699828703859,0.000139046603786703,0,0.000423446857419394,0.000591918042117245,0,0.0240926239104982,0,0.998934459939432,0.974273727538985,0.980154522042115
"ASV_3",0,1.85176040689349e-05,0,0,1.85821796896776e-05,0,0.411224298481345,0.0222681983993031,0,0.930591259640103,0.979214300561214,0.944757944757945,0,0.544412607449857,0.47905872193437,0.00099009900990099,0,0,0,0,0,0,0,0.700962586269524,0,0,0.00495298255688752,0,0,0.00114813628110648,0.0021630390698932,0.000290595280028179,0.00232981590869989,0,0.0037359900373599,0,0.00163424919381904,0.000998003992015968,0.00133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00465681312006479,0.0875335756043609,0,0.719876991892647,0.623563218390805,0.41370195632463,0.582956351632229,0.565271189936069,0.564117382649457,0,0.0400543109300747,0.00965980680386392,0.0933231005372218,0,0.00113161559888579,0,0.000430292598967298,0,0,0,0,0,0,0,0,0,0.000713871413911569,0.0593054827799743,0.0113829014289174,0.0399517456713029,0.0115336567792917,0.0134593356242841,0.00760020822488287,0.320803967632472,0.436259723765677,0.96131730266597,0.0091424392027793,0.00580585229911751,0.00230276331597917,0.00323422013562859,0.00304459213604129,0.00445722501797268,0.807447165380745,0.942057623661397,0.970233244071875,0.942159286731101,0.000699521993304575,0.00114737378888322,0.581505046072839,0.204324154538792,0.227253814147018,0.513430330162283,0.559738908334122,0.00193648334624322,0.00166909524440323,0.00521878763548776,0.0105780128447299,0.00173054736572234,0.0437097916089513,0.0777355741713929,0.25067403169593,0.30104347826087,0.00523391577421693,0.0114769520225776,0.00560131795716639,0.00162743812091622,0.00388424936880948,0.00987117282917852,0.00219184403299302,0.00163808055502024,0.0186394913335075,0.0226656812022666,0.000212161169487117,0.00280461202866937,0.0424408501537228,0.192064185744221,0.0323360701833315,0.00158134018580747,0.176560963618486,0.391551929287778,0.0408664925487786,0.0174244486795535,0.325968055170227,0.001276731567188,0.000121966093426028,0.000884813384813385,0.00127754710954966,0.0326280176615632,9.35234977788169e-05,0,0,0,0.000853080568720379,0.000658916552925119,0.00522594528127882,0.43064096499527,0,0,0.00239369570479546,0.0381296966323407,0.0978985135827781,0.0170143227915025,0.0683109162080231,0.0092068171826105,0,0,0.000137263649154113,0.000518320641122762,0,0.000107405617313786,4.30079779799153e-05,0,0,0,0,0.000210644572391518,0.0036835642869672,0.00342142778813466,0.00514210919970082,0.00836858351434778,0,0,0,0.000852757248436612,0.000430142766432478,0,0,0,0.0127006842270024,0.011370904697605,0.996034394754407,0.996564915293934,0.000848941476096992,0,0.0501986585209553,0.0304958315050461,0.00104618925563634,0.982976777958558,0.952456179944332,0.991878388023998,0,0,0,0,0,0.000115872169822252,0.000329198401891394,0.000241969632811082,0,0,0.000234161571484324,0,0.000224324223277377,0,0
"ASV_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43373286689224e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118805159538357,0,0,0,0,0,0,0,0,0,0,0.000638162093171666,0,0,0,0,0.000356935706955785,0.000333444481493831,0,0.00269656542719273,0.00171406989918945,0.00572737686139748,0.00197813638729828,0.438136256851997,0.51309731703445,0.00087123192193762,0.00201133662461145,0.000348351137947051,0.00110132158590308,0,0.00014851668956299,0.000431344356578001,0.00268366320026837,0.00203977562468129,0.0017076105095665,0.0041207762043905,0.968471544444629,0.96392146863845,0.232082784847155,0.69757093498063,0.719417475728155,0.00205185599701548,0.00227036231198562,0.992512264394526,0.974433699827792,0.000501806503412284,0.000431755626315505,0,0.946224643703635,0.87933815495083,0.00184125731570987,0.000745341614906832,0.00152991384169418,0.00112888052681091,0.00263591433278418,0.000485802424154097,0.000699164886385706,0.0108750209135018,0.000922881698102324,0.000674503757949509,0.00156780768225764,0.518847006651885,4.79073608519298e-05,0,0.947667424141158,0.783036944902007,0.953829715442582,0.0213480925084009,0.23383726647001,0.514193438721741,0.618374558303887,0.848625102096379,0.461376877650509,0.001595914458985,0.962800341505062,0.948975761475761,0.00383264132864899,0.0403692872297724,0.556277764788403,0.552652526103854,0.965590200445434,0.963007747771956,0.00663507109004739,0.197439638537205,0.0359667998770366,0.5394394512772,0,0,0.965035905435572,0.0362742369422024,0.04133078607707,0.016677881380371,0.502899019925244,0.637442780665684,0,0.000127287191726333,0.0260457774269929,0.150033890195766,0,0,0,0,0,0.000196116885663856,0,0,0,0,0,0.00317823253686978,0,0,0.000329924117452986,0,0,0,0,0,0.000670810786637449,0,0,0,0,0,0,0.943114147809189,0,4.03393887237962e-05,0,0,0,0,0.0130707713474933,9.11009550416787e-05,0.000268699828703859,0,0,0,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220638153428377,0.000699986000279994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000326285565126599,0,0,0,0,0,0,0,0.00100647016534867,0,0,0,0,0,0.000552439231684515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582637405321422,0,0,0,0,0,0.873953452295675,0.371455282019321,0,0,0,0,0,0,0,0,0,0.00510692626875199,0,0,0,0.00596364470439819,0,0,0,0,0,0,0,0,0,0,0.000699281891288561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.52275633792221e-05,0.00015432991878388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29445458551017e-05,0,0,0,0,0,0.00617371558330968,0.00581040643793033,0.0011454753722795,0.0266527850078084,0,0,0.00313643491897543,0.00118851709636131,0.000754760798885276,0.00300360432519023,0.00135628586332812,0.000408420896298222,0.00287562904385334,0,0,0.000194046648814375,0.000174820808671112,0,0,0.000438788942518649,0.000418804313684431,0,0,0.000567590577996405,0,0.000344416479003842,0.000602167804094741,0.00156511414539371,0,0,0,0.000723351088314592,0.000298136645962733,0.000322087124567195,0.00921919096895579,0.00230642504118616,0.987126235759916,0.929384346475044,0.947716245608165,0.988233258349195,0.993158604740798,0.00670673286299103,0,2.96569376702422e-05,0,0,5.6028058851873e-05,0,0.000593002569677802,0,0,0,0,0,0,0,0,0,0.0052755318538907,0,0,0,0,0,0.00014119640419824,0,0,0,0,0,0,0.00782815339452961,0,0.00217794390322865,0.0153619365350299,7.80538571614414e-05,0,0,0.000398708185479048,0.000190577831986583,0.00687395950808227,0.00159129518525687,0.00214044861457264,0.000130605137135394,6.53722952212852e-05,0,4.68099049758929e-05,0.941486873647898,0.623993858975765,0.793271628022937,0.486018063336001,0.140113464841514,0.511845651865513,0.147806004618938,0.231878908470722,0.0231457774318429,0,0.0860794652104322,0,0.0401592057600286,0.059199772581906,0.000353370764458754,0.000663595909126395,0.0215418899559612,0.0408501034417905,0,6.26841346455212e-05,0,0.000188250480711049,0.000300910253516889,7.71649593919401e-05,0,0,0,7.59174625347322e-05,0,0,0.00026934414700205,0.000181477224608312,0.000136596471257826,0,0.000312215428645766,0.000303053261610728,0.000224324223277377,7.91577614185071e-05,0.000151492198151795
"ASV_7",0.268626727354738,0,0,0,0,0,0,0,0.054443629575305,0,0,0,0.0821865317874777,0,0,0,0.124358813962217,0,0,0,0,0,0,0,0.807134753561074,0.503918087757993,0.146507788385615,0.000396184439094261,0.753111992460536,0.0208533589661433,0.0340678653508179,0.0110073969707644,0.0238573149050869,0.000835887433825578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185942729639271,0,0,0,0,0.528562674474025,0,0,0,0,0,0,0.0296496554169344,0,0,0,0,0,0.0796031379787725,0,0,0,0.582603585071995,0,0,0,0,0,0,0,0,0,0,0.000784404869120595,0,0,0,0,0,0,0,0,0,0,0,0,0.00172106068332483,0.000970233244071875,0.00079918083963937,0.0003997268533169,0,0.00193798449612403,0.000732907548947754,0.00104022191400832,0,0.00340554346797843,0,0.000529871506159756,0,0.000809541799341573,0,0,0,0,0.000124223602484472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000648981909629269,0.0005648046045023,0.0156786343816681,0.00305204790084339,0.000600788234163222,0,0.0048103033594538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8",0.0976288596383319,0,0,3.72224600323835e-05,0,0,0.000562464845947128,0,0.110674044936329,0,0,0,0.104673695273754,0,0,0.00264026402640264,0.171024646565745,0,0,0,0.00178465199286139,0.0005380476556495,0.00528071150639244,0,0.103806882642128,0.238707479333656,0.437010982700452,0.0901319598939445,0.109705096992068,0.095936131581758,0.101257266459375,0.103460725607608,0.131910592418421,0.202006129841181,0.245685821028287,0.0388068288908508,0.000233464170545577,0,0,0,0.0729525120440468,0.674434087882823,0.23708281829419,0.124931427280648,0.161769828098428,0.085218583557454,0.117485265225933,0.0245494907286498,0.0184621627104889,0.0249616816290782,0.125859456939751,0.115107913669065,0.022294796429349,0.0244555117817587,0.0282485875706215,0,0,0,0.00497754383957433,0.124341527655838,0.20604683677036,0,0,0.00360863348539525,0,0,0,0.00103924685169336,0,0,0.00538480288962262,0.0162932790224033,0.00923981520369593,0,0,0.00182799442896936,0.205122288878634,0,0,0,0.229327064354981,0.0013701758392327,0.121676239098064,0.0226103022038446,0.178447787499213,0.0207777354174609,0.1194,0.436487752643555,0.000476349259276902,0.173165415354807,0.00113539596934431,0,0,0,0,0,0,0,0.000406409660938226,0,0.000521648408972353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000269847266447191,0,0,0,0,0.00022360248447205,0,0,0,0,0,0.00050192404216162,0.000346080636788372,0,0,0,0,0,0,0,0,0,0,0.0111337752847187,0,0.00190579907432616,0,0,0,0,0,0.00464476174092551,0,0,0,0,0.00018957345971564,0.00018826187226432,0.000614817091915155,0,0.0234463387040144,0.00949136042832806,0,0.00519528713238705,0.00160756721494805,0.00237912140728636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192523150794558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199005810633796,0.0320502421728349,0.0363913869727214,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172028212626871,0.402010755202245,0.413494404644847,0.00022271714922049,0.000313493662949527,0,0.00131783310585024,0,0.000118259224219489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390240409573421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10",0.000527945216713823,0,0,0,0,0,0,0.000272227364294659,0.000520034668977932,0.000335307924443948,0,0,0.000525503333661773,0,0,0,0.00300262729888653,0.0018716577540107,0,0,0,0,0,0,0.0460733644270768,0.123460110818226,0.157562271193741,0,0.0570466504358753,0.0130834134358646,0.0137893740705691,0.0139485734413526,0.0150972070883753,0.0256338813039844,0.0161892901618929,0,0,0,0,0,0,0,0,0,0.0100497879402545,0,0.00851342501637197,0.561896056411596,0.473726922296612,0.58944602583753,0.00734180165481879,0.00682530898358237,0.516394513389941,0.580316657994499,0.58804143126177,0.0162156470464357,0.0180027849612095,0.01984321411073,0.0479446176731413,0,0.0148549458231388,0,0,0.0200857901545585,0,0,0,0,0,0,0.0468307960496672,0,0,0,0.000320410124959949,0,0,0,0,0.0008124796880078,0.0979723773141346,0,0,0.502133462367483,0,0.617232176896683,0,0.0321242136260206,0,0.0525550980867038,0,0.000319572354086168,0,0,0.000587314017227878,0,0,0,0,0,0,0,0,0.000587051325058705,0.0038883222845487,0.0020180851476695,0,0.000682866707749704,0,0.0028886938715811,0,0,0.002145122178698,0.00302714974931416,0,0.000741820108623659,0,0,0,0,0.000676413965346792,0,0,0,0,0,0.000170030848453934,0,0,0,0,0,0.000985464400098546,0,0,0,0,0,0,0,0.000169981302056774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161688644517963,0.000480630587330578,0.00203078553138888,0.0158791734554012,0,0,0,0,0,0,0,0,0,0,0,0.000257454477367411,0,0,0,0,0,0,0,0.000426378624218306,0,0,0,0,0,0,0.000274843927912364,0,0,0,0,0,0.000261547313909086,0,0,0,0,0,0.000343967667039298,0,0.0146441406643603,0.719311255822576,0.0143201304822757,0,0,0.0237200720272103,0,0,0,0,0
