"";"nest";"population";"species";"lat";"lon";"filename_forward";"PCR_run";"SRA_Run";"readID"
"BC10";"A_2";"A";"sarasinorum";"14.7825";"74.5723";"BC10_S10_L001_R1_001.fastq.gz";0;NA;"BC10"
"BC115";"RAO_36";"RAO";"sarasinorum";"27.6985";"76.7439";"BC115_S115_L001_R1_001.fastq.gz";0;NA;"BC115"
"BC116";"RAO_36";"RAO";"sarasinorum";"27.6985";"76.7439";"BC116_S116_L001_R1_001.fastq.gz";0;NA;"BC116"
"BC118";"RAO_36";"RAO";"sarasinorum";"27.6985";"76.7439";"BC118_S118_L001_R1_001.fastq.gz";0;NA;"BC118"
"BC11";"A_5";"A";"sarasinorum";"14.7825";"74.5723";"BC11_S11_L001_R1_001.fastq.gz";0;"SRR6489689";"BC11"
"BC120";"RAO_37";"RAO";"sarasinorum";"27.6985";"76.7439";"BC120_S120_L001_R1_001.fastq.gz";0;"SRR6489717";"BC120"
"BC121";"RAO_37";"RAO";"sarasinorum";"27.6985";"76.7439";"BC121_S121_L001_R1_001.fastq.gz";0;"SRR6489718";"BC121"
"BC122";"RAO_37";"RAO";"sarasinorum";"27.6985";"76.7439";"BC122_S122_L001_R1_001.fastq.gz";0;"SRR6489715";"BC122"
"BC123";"RAO_37";"RAO";"sarasinorum";"27.6985";"76.7439";"BC123_S123_L001_R1_001.fastq.gz";0;"SRR6489716";"BC123"
"BC124";"RAO_37";"RAO";"sarasinorum";"27.6985";"76.7439";"BC124_S124_L001_R1_001.fastq.gz";0;"SRR6489723";"BC124"
"BC125";"RAO_38";"RAO";"sarasinorum";"27.6985";"76.7439";"BC125_S125_L001_R1_001.fastq.gz";0;"SRR6489724";"BC125"
"BC126";"RAO_38";"RAO";"sarasinorum";"27.6985";"76.7439";"BC126_S126_L001_R1_001.fastq.gz";0;"SRR6489702";"BC126"
"BC12";"A_5";"A";"sarasinorum";"14.7825";"74.5723";"BC12_S12_L001_R1_001.fastq.gz";0;"SRR6489688";"BC12"
"BC130";"RAO_39";"RAO";"sarasinorum";"27.6985";"76.7439";"BC130_S130_L001_R1_001.fastq.gz";0;"SRR6489701";"BC130"
"BC132";"RAO_39";"RAO";"sarasinorum";"27.6985";"76.7439";"BC132_S132_L001_R1_001.fastq.gz";0;NA;"BC132"
"BC134";"RAO_39";"RAO";"sarasinorum";"27.6985";"76.7439";"BC134_S134_L001_R1_001.fastq.gz";0;NA;"BC134"
"BC136";"RAO_40";"RAO";"sarasinorum";"27.6985";"76.7439";"BC136_S136_L001_R1_001.fastq.gz";0;"SRR6489704";"BC136"
"BC137";"RAO_40";"RAO";"sarasinorum";"27.6985";"76.7439";"BC137_S137_L001_R1_001.fastq.gz";0;NA;"BC137"
"BC138";"RAO_40";"RAO";"sarasinorum";"27.6985";"76.7439";"BC138_S138_L001_R1_001.fastq.gz";0;"SRR6489703";"BC138"
